lat,lon,temperature,humidity,pressure,wind_speed,aqi,State,Avg_Temperature (°C),Avg_Rainfall (mm),Avg_Radiation (kWh/m²/day),Avg_Humidity (%),Avg_Wind Speed (m/s),pH,Organic Carbon (%),Nitrogen (%),Bulk Density (g/cm�),Cation Exchange (cmol/kg),Sand (%),Silt (%),Clay (%),Crop
36.8017,85.9602,-8.26,58,1018,5.35,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
31.7212,89.1922,1.03,51,1004,1.79,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
33.5354,85.9824,-2.92,44,1010,5.99,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
25.7959,96.0173,21.18,61,1006,1.23,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
35.141,81.3374,-12.06,69,1020,4.11,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
35.0458,91.3018,-6.81,60,1012,1.82,1,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
26.4051,96.7818,16.94,99,1006,1.12,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
32.6242,82.7694,1.48,24,1006,1.5,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
33.5034,94.582,-5.49,90,1010,2.08,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
33.0395,92.4387,-7.73,88,1009,0.72,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
24.9574,96.7317,22.57,52,1005,0.15,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
30.4633,93.9153,4.94,88,1012,2.75,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
32.602,88.7936,-3.31,49,1006,1.41,1,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
23.8042,96.1443,29.25,40,1004,2.9,1,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
32.7553,96.3937,-0.56,97,1005,2.22,2,Arunachal Pradesh,17.94,6.82,13.98,79.43,0.48,6.6,1.2,0.1,1.52,23,49,30,21,Maize(Corn)
26.7169,94.3144,21.98,72,1006,1.44,2,Assam,24.21,3.87,15.22,74.32,0.41,6.6,1.2,0.09,1.43,18,49,31,20,Tea
26.2293,89.3717,22.07,74,1007,0.85,3,Assam,24.21,3.87,15.22,74.32,0.41,6.6,1.2,0.09,1.43,18,49,31,20,Tea
25.6163,89.5384,22.46,80,1006,0.71,3,Assam ,24.21,3.87,15.22,74.32,0.41,6.6,1.2,0.09,1.43,18,49,31,20,Tea
25.4547,86.9705,23.01,77,1006,2.42,5,Bihar,26.02,2.89,16.97,56.93,1.98,6.8,1.3,0.12,1.47,21,51,30,19,Wheat
20.5891,81.0389,26.73,31,1004,1.46,4,Chhattisgarh,25.81,3.69,17.91,61.53,1.99,6.8,1.4,0.11,1.5,20,52,30,18,Rice
